key,adj
adulatory,1
adult,1
adulterant,1
adulterate,1
adulterated,1
adulterating,1
adulterine,1
adulterous,1
adumbrative,1
adust,1
advance,1
advanced,1
advancing,1
advantageous,1
advective,1
adventitial,1
adventitious,1
adventive,1
adventuresome,1
adventuristic,1
adventurous,1
adverbial,1
adversative,1
adverse,1
advertent,1
advertised,1
advisable,1
advised,1
advisory,1
adynamic,1
aecial,1
aegean,1
aeolian,1
aeolotropic,1
aeonian,1
aerated,1
aerial,1
aeriferous,1
aeriform,1
aerobic,1
aerobiotic,1
aerodynamic,1
aerolitic,1
aerological,1
aeromechanic,1
aeromedical,1
aeronautic,1
aeronautical,1
aerophilatelic,1
aerophilic,1
aerophilous,1
aerosolised,1
aerosolized,1
aery,1
aeschylean,1
aesculapian,1
aesthetic,1
aesthetical,1
aestival,1
aetiologic,1
aetiological,1
afeard,1
afeared,1
afebrile,1
affable,1
affected,1
affecting,1
affectional,1
affectionate,1
affective,1
afferent,1
affiliated,1
affinal,1
affine,1
affined,1
affirmable,1
affirmative,1
affirmatory,1
affixal,1
affixed,1
affixial,1
afflicted,1
afflictive,1
affluent,1
affordable,1
afghan,1
afghani,1
afghanistani,1
afire,1
aflame,1
aflare,1
aflicker,1
afloat,1
aflutter,1
afoot,1
aforementioned,1
aforesaid,1
aforethought,1
afoul,1
afraid,1
african,1
african-american,1
afrikaans,1
afrikaner,1
afro-american,1
afro-asian,1
aft,1
after,1
after-hours,1
after-school,1
aftermost,1
aftershafted,1
agamic,1
agamogenetic,1
agamous,1
agape,1
agaze,1
age-old,1
age-related,1
aged,1
ageing,1
ageless,1
agelong,1
agential,1
agglomerate,1
agglomerated,1
agglomerative,1
agglutinate,1
agglutinative,1
aggravated,1
aggravating,1
aggregate,1
aggregated,1
aggregative,1
aggressive,1
aghast,1
agile,1
aging,1
agitated,1
agitating,1
agitative,1
agleam,1
aglitter,1
aglow,1
agnate,1
agnatic,1
agnostic,1
agnostical,1
ago,1
agog,1
agonadal,1
agonal,1
agone,1
agonised,1
agonising,1
agonistic,1
agonistical,1
agonized,1
agonizing,1
agoraphobic,1
agranulocytic,1
agraphic,1
agrarian,1
agreeable,1
agreed,1
agreed upon,1
agrestic,1
agricultural,1
agrobiologic,1
agrobiological,1
agrologic,1
agrological,1
agronomic,1
agronomical,1
aground,1
agrypnotic,1
aguish,1
ahead,1
ahistorical,1
ahorse,1
ahorseback,1
aided,1
ailing,1
aimless,1
ain,1
air-breathing,1
air-conditioned,1
air-cooled,1
air-dried,1
air-dry,1
air-filled,1
air-tight,1
air-to-air,1
air-to-ground,1
air-to-surface,1
air sick,1
airborne,1
aired,1
airheaded,1
airless,1
airlike,1
airsick,1
airtight,1
airworthy,1
airy,1
ajar,1
akimbo,1
akin,1
al dente,1
alabaster,1
alabastrine,1
alacritous,1
alar,1
alarmed,1
alarming,1
alary,1
alaskan,1
alate,1
alated,1
albanian,1
albescent,1
albigensian,1
albinal,1
albinic,1
albinistic,1
albinotic,1
albitic,1
albuminous,1
albuminuric,1
alcalescent,1
alchemic,1
alchemical,1
alchemistic,1
alchemistical,1
alcohol-dependent,1
alcohol-soluble,1
alcoholic,1
aldehydic,1
aldermanic,1
aldermanly,1
aleatory,1
alert,1
aleuronic,1
aleutian,1
alexandrian,1
alexic,1
alfresco,1
algal,1
algebraic,1
algebraical,1
algerian,1
algid,1
algoid,1
algolagnic,1
algometric,1
algometrical,1
algonkian,1
algonquian,1
algonquin,1
algophobic,1
algorithmic,1
alien,1
alienable,1
alienated,1
alienating,1
aliform,1
alight,1
aligned,1
aligning,1
alike,1
alimental,1
alimentary,1
alimentative,1
aliphatic,1
aliquot,1
alive,1
alkahestic,1
alkalescent,1
alkalic,1
alkaline,1
alkaline-loving,1
alkaloidal,1
alkalotic,1
alkylic,1
all,1
all-around,1
all-devouring,1
all-embracing,1
all-encompassing,1
all-fired,1
all-important,1
all-inclusive,1
all-knowing,1
all-mains,1
all-metal,1
all-night,1
all-or-none,1
all-or-nothing,1
all-out,1
all-powerful,1
all-purpose,1
all-round,1
all-time,1
all-victorious,1
all-weather,1
all important,1
all in,1
all over,1
all right,1
allantoic,1
allantoid,1
allargando,1
alleged,1
allegiant,1
allegoric,1
allegorical,1
allegretto,1
allegro,1
allelic,1
allelomorphic,1
allergenic,1
allergic,1
alleviated,1
alleviative,1
alleviatory,1
alliaceous,1
allied,1
alligatored,1
alliterative,1
allocable,1
allocatable,1
allochronic,1
allochthonous,1
allogamous,1
allogeneic,1
allographic,1
allomerous,1
allometric,1
allomorphic,1
allopathic,1
allopatric,1
allophonic,1
allotropic,1
allotropical,1
allotted,1
allover,1
allowable,1
alloyed,1
alluring,1
allusive,1
alluvial,1
allylic,1
almighty,1
almond-eyed,1
almond-scented,1
almond-shaped,1
alone,1
aloof,1
alopecic,1
alpestrine,1
alpha,1
alphabetic,1
alphabetical,1
alphabetised,1
alphabetized,1
alphameric,1
alphamerical,1
alphanumeric,1
alphanumerical,1
alpine,1
alright,1
alsatian,1
altaic,1
alterable,1
alterative,1
altered,1
alternate,1
alternating,1
alternative,1
altissimo,1
altitudinal,1
altitudinous,1
alto,1
altricial,1
altruistic,1
alular,1
aluminiferous,1
aluminous,1
alveolar,1
alveolate,1
alvine,1
amalgamate,1
amalgamated,1
amalgamative,1
amaranthine,1
amateur,1
amateurish,1
amative,1
amatory,1
amaurotic,1
amazed,1
amazing,1
ambagious,1
ambassadorial,1
amber,1
amber-green,1
ambidextrous,1
ambient,1
ambiguous,1
ambitionless,1
ambitious,1
ambivalent,1
ambiversive,1
amblyopic,1
ambrosial,1
ambrosian,1
ambulacral,1
ambulant,1
ambulatory,1
ameban,1
amebic,1
ameboid,1
amebous,1
ameliorating,1
ameliorative,1
amelioratory,1
amenable,1
amendable,1
amendatory,1
amended,1
amenorrheal,1
amenorrheic,1
amenorrhoeal,1
amenorrhoeic,1
amentaceous,1
amentiferous,1
amerciable,1
american,1
amerind,1
amerindic,1
ametabolic,1
ametabolous,1
amethyst,1
amethystine,1
ametropic,1
amharic,1
amiable,1
amicable,1
amidship,1
aminic,1
amino,1
amiss,1
amitotic,1
ammino,1
ammoniac,1
ammoniacal,1
ammoniated,1
ammonitic,1
amnesiac,1
amnesic,1
amnestic,1
amnic,1
amnionic,1
amniotic,1
amoeban,1
amoebic,1
amoeboid,1
amoebous,1
amok,1
amoristic,1
amorous,1
amorphous,1
amort,1
amphibian,1
amphibiotic,1
amphibious,1
amphiprostylar,1
amphiprostyle,1
amphiprotic,1
amphistylar,1
amphitheatric,1
amphitheatrical,1
amphitropous,1
amphoric,1
amphoteric,1
ample,1
ampullar,1
ampullary,1
amuck,1
amused,1
amusing,1
amusive,1
amygdaliform,1
amygdaline,1
amygdaloid,1
amygdaloidal,1
amylaceous,1
amyloid,1
amyloidal,1
amylolytic,1
anabatic,1
anabiotic,1
anabolic,1
anachronic,1
anachronistic,1
anachronous,1
anaclinal,1
anaclitic,1
anacoluthic,1
anadromous,1
anaemic,1
anaerobic,1
anaerobiotic,1
anaesthetic,1
anaglyphic,1
anaglyphical,1
anaglyptic,1
anaglyptical,1
anagogic,1
anagogical,1
anagrammatic,1
anagrammatical,1
anal,1
anal retentive,1
analeptic,1
analgesic,1
analgetic,1
analog,1
analogical,1
analogous,1
analogue,1
analphabetic,1
analytic,1
analytical,1
analyzable,1
analyzed,1
anamnestic,1
anamorphic,1
anapaestic,1
anapestic,1
anaphasic,1
anaphoric,1
anaphrodisiac,1
anaphylactic,1
anaplastic,1
anarchic,1
anarchical,1
anarchistic,1
anasarcous,1
anastigmatic,1
anastomotic,1
anatomic,1
anatomical,1
anatropous,1
ancestral,1
anchoritic,1
ancient,1
ancillary,1
andalusian,1
andante,1
andantino,1
andean,1
andorran,1
androgenetic,1
androgenic,1
androgenous,1
androgynous,1
ane,1
anecdotal,1
anecdotic,1
anecdotical,1
anechoic,1
anemic,1
anemographic,1
anemometric,1
anemometrical,1
anemophilous,1
anencephalic,1
anencephalous,1
aneroid,1
anesthetic,1
anestric,1
anestrous,1
aneuploid,1
aneurismal,1
aneurismatic,1
aneurysmal,1
aneurysmatic,1
anfractuous,1
angelic,1
angelical,1
angered,1
anginal,1
anginose,1
anginous,1
angiocarpic,1
angiocarpous,1
angiomatous,1
angiospermous,1
angled,1
anglican,1
anglo-catholic,1
anglo-indian,1
anglo-jewish,1
anglo-saxon,1
anglophilic,1
anglophobic,1
angolan,1
angry,1
anguillan,1
anguine,1
anguished,1
angular,1
angulate,1
anhydrous,1
anicteric,1
anile,1
animal,1
animalistic,1
animate,1
animated,1
animating,1
animatistic,1
animist,1
animistic,1
anionic,1
anise-scented,1
aniseikonic,1
anisogametic,1
anisogamic,1
anisogamous,1
anisometric,1
anisometropic,1
anisotropic,1
ankle-deep,1
ankylotic,1
annalistic,1
annelid,1
annelidan,1
annexal,1
annexational,1
annihilated,1
annihilating,1
annihilative,1
announced,1
annoyed,1
annoying,1
annual,1
annular,1
annulate,1
annulated,1
annunciatory,1
anodal,1
anodic,1
anodyne,1
anoestrous,1
anomalous,1
anomic,1
anon.,1
anonymous,1
anoperineal,1
anopheline,1
anorectal,1
anorectic,1
anorexic,1
anorexigenic,1
anorthic,1
anorthitic,1
anosmatic,1
anosmic,1
another,1
anoxemic,1
anoxic,1
anserine,1
answerable,1
answering,1
antacid,1
antagonistic,1
antarctic,1
ante meridiem,1
antebellum,1
antecedent,1
antecubital,1
antediluvial,1
antediluvian,1
antemeridian,1
antemortem,1
antenatal,1
antennal,1
antennary,1
antenuptial,1
antepartum,1
antepenultimate,1
anterior,1
anterograde,1
anthelminthic,1
anthelmintic,1
antheral,1
antheridial,1
anthophagous,1
anthophilous,1
anthracitic,1
anthropic,1
anthropical,1
anthropocentric,1
anthropogenetic,1
anthropogenic,1
anthropoid,1
anthropoidal,1
anthropological,1
anthropometric,1
anthropometrical,1
anthropomorphic,1
anthropomorphous,1
anthropophagous,1
anti,1
anti-american,1
anti-intellectual,1
anti-semite,1
anti-semitic,1
antiadrenergic,1
antiaircraft,1
antiapartheid,1
antiauthoritarian,1
antibacterial,1
antibiotic,1
antiblack,1
antic,1
anticancer,1
anticholinergic,1
anticipant,1
anticipated,1
anticipative,1
anticipatory,1
anticlimactic,1
anticlimactical,1
anticlinal,1
anticlockwise,1
anticoagulative,1
anticyclonic,1
antidotal,1
antidromic,1
antiferromagnetic,1
antifertility,1
antifungal,1
antigenic,1
antiguan,1
antiheretical,1
antiknock,1
antiknocking,1
antimagnetic,1
antimicrobial,1
antimicrobic,1
antimonial,1
antimonic,1
antimonious,1
antimonopoly,1
antineoplastic,1
antinomian,1
antiparallel,1
antipathetic,1
antipathetical,1
antipersonnel,1
antiphlogistic,1
antiphonal,1
antiphonary,1
antipodal,1
antipodean,1
antipollution,1
antipyretic,1
antiquarian,1
antiquated,1
antique,1
antisatellite,1
antisemitic,1
antiseptic,1
antisocial,1
antistrophic,1
antisubmarine,1
antitank,1
antithetic,1
antithetical,1
antithyroid,1
antitoxic,1
antitrust,1
antitumor,1
antitumour,1
antitypic,1
antitypical,1
antiviral,1
antler-like,1
antlered,1
antonymous,1
antrorse,1
antsy,1
anuran,1
anuretic,1
anuric,1
anurous,1
anxiolytic,1
anxious,1
any,1
aoristic,1
aortal,1
aortic,1
apart,1
apathetic,1
apelike,1
aperient,1
aperiodic,1
apetalous,1
aphaeretic,1
aphakic,1
aphanitic,1
aphasic,1
apheretic,1
aphetic,1
aphonic,1
aphoristic,1
aphotic,1
aphrodisiac,1
aphrodisiacal,1
aphyllous,1
apian,1
apiarian,1
apical,1
apiculate,1
apicultural,1
apish,1
apivorous,1
aplacental,1
aplanatic,1
aplitic,1
apneic,1
apnoeic,1
apocalyptic,1
apocalyptical,1
apocarpous,1
apochromatic,1
apocrine,1
apocryphal,1
apocynaceous,1
apodal,1
apodeictic,1
apodictic,1
apodous,1
apogametic,1
apogamic,1
apogamous,1
apogean,1
apolitical,1
apologetic,1
apomictic,1
apomictical,1
aponeurotic,1
apopemptic,1
apophatic,1
apophyseal,1
apoplectic,1
apoplectiform,1
apoplectoid,1
aposiopetic,1
apostate,1
apostolic,1
apostolical,1
apostrophic,1
apothecial,1
apothegmatic,1
apothegmatical,1
apotropaic,1
appalachian,1
appalled,1
appalling,1
appareled,1
apparent,1
apparitional,1
appealable,1
appealing,1
appeasable,1
appeasing,1
appellant,1
appellate,1
appellative,1
appendaged,1
appendant,1
appendicular,1
apperceptive,1
appetent,1
appetising,1
appetitive,1
appetizing,1
applaudable,1
apple-scented,1
apple-shaped,1
apple-sized,1
applicable,1
applicative,1
applicatory,1
applied,1
appointed,1
appointive,1
apportionable,1
apportioned,1
apposable,1
apposite,1
appositional,1
appositive,1
appraising,1
appreciable,1
appreciated,1
appreciative,1
apprehended,1
apprehensible,1
apprehensive,1
apprenticed,1
appressed,1
approachable,1
approaching,1
approbative,1
approbatory,1
appropriable,1
appropriate,1
appropriative,1
approved,1
approving,1
approximate,1
approximative,1
appurtenant,1
apractic,1
apraxic,1
apropos,1
apsidal,1
apt,1
apteral,1
apterous,1
aptitudinal,1
aquacultural,1
aquaphobic,1
aquatic,1
aqueous,1
aquicultural,1
aquiferous,1
aquiline,1
arabian,1
arabic,1
arable,1
araceous,1
arachnidian,1
arachnoid,1
aramaean,1
aramaic,1
aramean,1
araneidal,1
araneidan,1
arawakan,1
arbitrable,1
arbitral,1
arbitrary,1
arbitrational,1
arbitrative,1
arboraceous,1
arborary,1
arboreal,1
arboreous,1
arborescent,1
arboresque,1
arborical,1
arboriform,1
arborous,1
arcadian,1
arcane,1
arced,1
arch,1
archaean,1
archaeologic,1
archaeological,1
archaeozoic,1
archaic,1
archaistic,1
archangelic,1
archangelical,1
archdiocesan,1
archducal,1
archean,1
arched,1
archegonial,1
archegoniate,1
archeologic,1
archeological,1
archeozoic,1
archepiscopal,1
archesporial,1
archetypal,1
archetypical,1
archidiaconal,1
archiepiscopal,1
arching,1
archipelagic,1
architectonic,1
architectural,1
archival,1
archosaurian,1
arciform,1
arco,1
arctic,1
arcuate,1
ardent,1
arduous,1
areal,1
arenaceous,1
arenicolous,1
areolar,1
areolate,1
argent,1
argentic,1
argentiferous,1
argentine,1
argentinian,1
argentous,1
argillaceous,1
argive,1
arguable,1
argumentative,1
argus-eyed,1
arid,1
ariled,1
arillate,1
ariose,1
aristocratic,1
aristocratical,1
aristotelean,1
aristotelian,1
aristotelic,1
arithmetic,1
arithmetical,1
armed,1
armenian,1
armillary,1
arminian,1
armless,1
armlike,1
armor-clad,1
armor-plated,1
armored,1
armorial,1
armour-clad,1
armour-plated,1
armoured,1
aroid,1
aromatic,1
around-the-clock,1
around the bend,1
aroused,1
arranged,1
arrant,1
arrayed,1
arresting,1
arrhythmic,1
arrhythmical,1
arrogant,1
arrow-shaped,1
arsenical,1
arsenious,1
artefactual,1
arterial,1
arteriolar,1
arteriosclerotic,1
arteriovenous,1
artesian,1
artful,1
arthralgic,1
arthritic,1
arthromeric,1
arthropodal,1
arthropodan,1
arthropodous,1
arthrosporic,1
arthrosporous,1
arthurian,1
articled,1
articular,1
articulary,1
articulate,1
articulated,1
articulative,1
articulatory,1
artifactual,1
artificial,1
artiodactyl,1
artiodactylous,1
artistic,1
artless,1
artsy-craftsy,1
arty,1
arty-crafty,1
arundinaceous,1
aryan,1
asat,1
ascendable,1
ascendant,1
ascendent,1
ascendible,1
ascending,1
ascensional,1
ascensive,1
ascertainable,1
ascertained,1
ascetic,1
ascetical,1
ascitic,1
asclepiadaceous,1
ascocarpous,1
ascomycetous,1
ascosporic,1
ascosporous,1
ascribable,1
aseptic,1
asexual,1
ash-blonde,1
ash-gray,1
ash-grey,1
ashamed,1
ashen,1
ashy,1
asian,1
asiatic,1
asinine,1
askance,1
askant,1
askew,1
aslant,1
asleep,1
aslope,1
asocial,1
aspectual,1
asphaltic,1
aspheric,1
aspherical,1
asphyxiated,1
asphyxiating,1
aspirant,1
aspiring,1
asquint,1
assailable,1
assamese,1
assassinated,1
assaultive,1
assentient,1
assertable,1
asserted,1
asserting,1
assertive,1
assessable,1
assiduous,1
assignable,1
assigned,1
assimilable,1
assimilating,1
assimilative,1
assimilatory,1
assistant,1
assisted,1
assistive,1
associable,1
associate,1
associational,1
associative,1
associatory,1
assonant,1
assorted,1
assuasive,1
assumed,1
assuming,1
assumptive,1
assured,1
assurgent,1
assuring,1
astatic,1
asteriated,1
asterisked,1
asterismal,1
asternal,1
asteroid,1
asteroidal,1
asthenic,1
asthmatic,1
astigmatic,1
astir,1
astomatal,1
astomatous,1
astonied,1
astonished,1
astonishing,1
astounded,1
astounding,1
astragalar,1
astral,1
astringent,1
astrocytic,1
astrological,1
astronautic,1
astronautical,1
astronomic,1
astronomical,1
astrophysical,1
astute,1
astylar,1
asunder,1
asymmetric,1
asymmetrical,1
asymptomatic,1
asymptotic,1
asynchronous,1
asyndetic,1
asynergic,1
at a loss,1
at bay,1
at fault,1
at hand,1
at large,1
at loggerheads,1
at odds,1
at peace,1
at rest,1
at sea,1
at the ready,1
at variance,1
at work,1
atactic,1
ataractic,1
ataraxic,1
atavistic,1
ataxic,1
ateleiotic,1
atheist,1
atheistic,1
atheistical,1
athenian,1
atheromatic,1
atheromatous,1
atherosclerotic,1
athirst,1
athletic,1
atilt,1
atlantic,1
atmospheric,1
atmospherical,1
atomic,1
atomistic,1
atomistical,1
atonal,1
atonalistic,1
atonic,1
atoxic,1
atrabilious,1
atrial,1
atrioventricular,1
atrip,1
atrocious,1
atrophic,1
atrophied,1
attachable,1
attached,1
attacking,1
attainable,1
attained,1
attempted,1
attendant,1
attended,1
attention-getting,1
attentional,1
attentive,1
attenuate,1
attenuated,1
attested,1
attic,1
attired,1
attitudinal,1
attractable,1
attractive,1
attributable,1
attributive,1
attributive genitive,1
attrited,1
attritional,1
atypical,1
au courant,1
au fait,1
au gratin,1
au jus,1
au naturel,1
auburn,1
auctorial,1
audacious,1
audenesque,1
audible,1
audile,1
audio-lingual,1
audiometric,1
audiovisual,1
auditive,1
auditory,1
augean,1
augitic,1
augmentative,1
augmented,1
august,1
augustan,1
auld,1
aural,1
aureate,1
auric,1
auricular,1
auriculate,1
auriculated,1
auriculoventricular,1
auriferous,1
auriform,1
auroral,1
aurorean,1
aurous,1
auscultatory,1
auspicious,1
austenitic,1
austere,1
austral,1
australasian,1
australian,1
australopithecine,1
austrian,1
austronesian,1
autacoidal,1
autarchic,1
autarchical,1
autarkic,1
autarkical,1
authentic,1
authenticated,1
authorial,1
authorised,1
authoritarian,1
authoritative,1
authorized,1
autistic,1
autobiographic,1
autobiographical,1
autocatalytic,1
autochthonal,1
autochthonic,1
autochthonous,1
autocratic,1
autodidactic,1
autoecious,1
autoerotic,1
autofluorescent,1
autogamic,1
autogamous,1
autogenetic,1
autogenic,1
autogenous,1
autographed,1
autographic,1
autoicous,1
autoimmune,1
autoloading,1
autologous,1
autolytic,1
automated,1
automatic,1
automatonlike,1
automotive,1
autonomic,1
autonomous,1
autophytic,1
autoplastic,1
autoradiographic,1
autosemantic,1
autosomal,1
autotelic,1
autotomic,1
autotrophic,1
autotypic,1
autumn-blooming,1
autumn-flowering,1
autumnal,1
auxetic,1
auxiliary,1
auxinic,1
available,1
avant-garde,1
avaricious,1
avascular,1
avellan,1
avellane,1
avenged,1
average,1
averse,1
aversive,1
avertable,1
avertible,1
avestan,1
avian,1
avid,1
avifaunal,1
avifaunistic,1
avionic,1
avirulent,1
avitaminotic,1
avocado,1
avocational,1
avoidable,1
avowed,1
avuncular,1
awaited,1
awake,1
awakened,1
award-winning,1
aware,1
awash,1
away,1
awe-inspiring,1
aweary,1
awed,1
aweigh,1
aweless,1
awesome,1
awestricken,1
awestruck,1
awful,1
awheel,1
awing,1
awkward,1
awl-shaped,1
awless,1
awned,1
awninged,1
awnless,1
awny,1
awol,1
awry,1
axenic,1
axial,1
axile,1
axillary,1
axiological,1
axiomatic,1
axiomatical,1
axonal,1
azerbaijani,1
azido,1
azimuthal,1
azo,1
azoic,1
azonal,1
azonic,1
azotemic,1
azotic,1
azure,1
azygos,1
azygous,1
babelike,1
baboonish,1
baby-faced,1
babyish,1
babylonian,1
baccate,1
bacchanal,1
bacchanalian,1
bacchantic,1
bacchic,1
bacciferous,1
baccivorous,1
bacillar,1
bacillary,1
bacilliform,1
back,1
back-channel,1
back-geared,1
back-to-back,1
backbreaking,1
backed,1
backhand,1
backhanded,1
backless,1
backmost,1
backstage,1
backstair,1
backstairs,1
backswept,1
backward,1
bacteremic,1
bacterial,1
bactericidal,1
bacterioid,1
bacterioidal,1
bacteriologic,1
bacteriological,1
bacteriolytic,1
